Actual_Close,LSTM_Predicted
68508.84375,65724.66
67837.640625,66534.69
68896.109375,67471.055
69362.5546875,68572.64
71631.359375,69403.23
69139.015625,70861.734
70587.8828125,70415.28
70060.609375,70275.21
67195.8671875,69988.9
63821.47265625,68307.22
65738.7265625,65336.336
63426.2109375,64495.336
63811.86328125,63670.74
61276.69140625,63545.527
63512.75390625,62502.48
63843.5703125,62810.16
64994.44140625,63577.53
64926.64453125,64695.375
66837.6796875,65314.78
66407.2734375,66369.41
64276.8984375,66761.75
64481.70703125,65603.086
63755.3203125,64575.41
63419.140625,63727.73
63113.23046875,63220.594
63841.12109375,62965.156
60636.85546875,63319.668
58254.01171875,62148.71
59123.43359375,59915.668
62889.8359375,58851.98
63891.47265625,60517.65
64031.1328125,62848.16
63161.94921875,64382.47
62334.81640625,64420.566
61187.94140625,63447.836
63049.9609375,61991.734
60792.77734375,61981.086
60793.7109375,61366.38
61448.39453125,60892.81
62901.44921875,61036.996
61552.7890625,62052.395
66267.4921875,62229.895
65231.58203125,64361.742
67051.875,65576.28
66940.8046875,66765.57
66278.3671875,67231.99
71448.1953125,66829.9
70136.53125,68944.02
69122.3359375,70138.18
67929.5625,69875.13
68526.1015625,68616.945
69265.9453125,67987.08
68518.09375,68302.34
69394.5546875,68436.08
68296.21875,68942.04
67578.09375,68764.86
68364.9921875,68095.4
67491.4140625,68018.93
67706.9375,67736.53
67751.6015625,67658.734
68804.78125,67719.164
70567.765625,68341.13
71082.8203125,69738.91
70757.1640625,70926.19
69342.5859375,71215.055
69305.7734375,70256.734
69647.9921875,69328.95
69512.28125,69063.72
67332.03125,69106.35
68241.1875,68130.305
66756.3984375,67824.336
66011.09375,67151.56
66191.0,66352.625
66639.046875,66033.17
66490.296875,66281.0
65140.74609375,66530.44
64960.296875,65969.805
64828.65625,65322.543
64096.19921875,64891.867
64252.578125,64379.82
63180.796875,64181.855
60277.4140625,63656.93
61804.640625,61857.902
60811.27734375,61286.223
61604.80078125,60920.816
60320.13671875,61219.797
60887.37890625,60985.234
62678.29296875,60965.605
62851.98046875,61882.86
62029.015625,62745.625
60173.921875,62749.312
56977.703125,61521.32
